uniprot	cytosol	extracellular	membrane	mitochondrion	nucleus	secretory-pathway
SYPL1	4.275	4.152	4.653	0.689	0.61	4.298
RANB9	5.0	1.132	3.605	0.848	5.0	1.457
CD4	4.844	4.122	5.0	3.035	3.61	4.684
TSN9	2.412	1.107	5.0	0.834	2.008	1.966
QPCTL	4.691	0.932	1.09	1.095	1.275	4.681
PPP5	4.81	0.953	3.497	1.03	4.644	2.352
UBR7	3.854	0.0	0.817	0.0	2.636	0.902
M4K5	5.0	0.937	2.375	0.91	1.79	0.715
INMT	5.0	1.357	1.165	1.22	2.449	1.16
ERCC1	5.0	1.763	1.73	2.166	5.0	1.432
RAI3	4.717	4.308	5.0	1.095	4.315	4.681
HEBP1	4.273	4.169	1.105	1.32	1.254	4.177
COX15	5.0	0.686	3.089	5.0	4.341	0.93
M4A12	1.407	0.664	3.291	0.0	0.738	0.0
XYLT2	4.755	5.0	1.561	1.416	1.268	4.492
SCTR	5.0	1.708	4.468	1.066	1.435	1.316
RBP1	4.688	1.267	2.361	1.273	3.298	1.858
PSD1	5.0	1.214	5.0	1.727	2.933	3.187
SYT13	4.683	2.693	4.005	1.354	1.33	4.664
BAT1	5.0	1.318	5.0	1.045	0.879	0.966
A0A0A0MQR2	5.0	0.844	0.697	1.406	5.0	0.0
RBCC1	5.0	1.802	4.455	2.4	4.571	4.38
AKA11	5.0	0.954	4.508	1.735	4.639	0.882
PIGQ	5.0	1.109	4.064	1.245	2.445	5.0
CAD17	4.807	3.222	5.0	2.303	4.711	2.614
B4GT7	5.0	1.694	1.626	0.469	1.585	5.0
FA13B	4.603	0.0	0.535	1.406	2.69	0.0
CHPF2	4.547	1.367	1.151	0.841	2.146	4.273
GBRL2	5.0	2.389	2.552	2.692	3.001	4.434
MYOC	5.0	5.0	5.0	5.0	1.915	5.0
F136A	4.552	1.969	2.333	2.564	2.37	0.766
OTC	4.839	1.531	1.614	4.8	1.792	1.305
TTC17	5.0	0.0	5.0	0.75	1.107	1.149
HXC8	5.0	1.728	1.361	1.406	5.0	1.033
MTNA	4.796	1.264	3.299	1.04	4.488	1.132
BD1L1	4.809	0.0	0.538	0.0	4.808	0.0
TARB1	4.758	0.0	0.693	0.961	4.748	0.758
RTN4R	4.692	4.534	5.0	2.269	2.074	4.355
PSA4	5.0	4.25	2.181	2.437	4.392	4.422
ZPBP1	4.374	3.99	1.723	0.838	4.224	3.758
LCP2	5.0	2.237	5.0	1.266	2.854	1.855
PGS2	4.56	4.571	2.556	2.076	2.269	4.308
TNR17	5.0	2.054	5.0	1.843	2.041	1.53
RT10	5.0	0.556	1.408	5.0	1.159	0.0
GRN	5.0	5.0	5.0	1.979	2.308	5.0
THAP3	3.556	1.031	0.709	0.469	3.318	0.0
VAMP3	5.0	2.513	4.693	1.65	1.627	5.0
UTS2	2.137	5.0	2.612	0.685	1.929	1.003
RCN1	5.0	1.193	1.104	1.233	1.339	5.0
RFC2	5.0	1.145	1.129	1.148	5.0	1.623
PPR3F	3.997	0.0	0.953	1.146	2.624	0.375
NEXMI	4.599	0.0	4.0	0.0	4.562	0.681
ARHG5	5.0	1.27	5.0	0.55	5.0	0.693
NF2L3	4.626	1.329	1.33	1.364	4.625	2.004
TLL1	1.8	4.668	1.631	0.946	1.342	1.086
CBLN4	1.393	4.707	4.379	0.907	1.222	0.846
CLD11	4.439	2.075	5.0	1.322	1.869	1.518
F168A	3.238	0.469	0.0	0.0	3.235	0.0
TR19L	4.579	2.118	3.662	1.558	4.478	0.624
PKP2	4.731	1.77	5.0	1.361	4.692	1.862
YIPF1	5.0	1.601	4.688	1.887	4.595	5.0
ADCK2	2.34	0.695	2.889	1.159	1.021	0.741
INP4A	5.0	1.061	4.237	0.84	5.0	3.687
GTR3	4.548	4.467	4.769	2.572	2.212	4.384
STYK1	2.169	1.156	4.527	1.221	1.553	0.783
GNA11	5.0	4.42	4.509	2.381	2.23	4.379
CR3L3	4.753	1.695	1.459	1.647	4.735	4.484
HDAC7	5.0	1.834	1.824	1.698	5.0	1.315
RT35	4.618	0.562	0.0	4.638	0.469	0.741
APBP2	5.0	0.74	0.92	0.375	5.0	5.0
CAH11	3.011	3.877	3.0	1.436	0.0	1.805
ISOC2	4.396	0.933	0.0	1.775	4.24	0.656
CD22	4.689	4.615	5.0	2.322	3.233	4.397
GSC2	4.438	0.715	0.996	0.64	4.371	1.644
KCNQ1	5.0	2.201	5.0	1.831	2.345	5.0
TRPM5	2.643	1.908	4.72	1.412	1.674	2.116
TRIB2	4.787	1.312	1.374	1.326	4.064	0.738
OTUD5	4.729	1.127	2.541	1.238	1.939	1.573
GPKOW	5.0	0.0	0.606	0.422	5.0	0.281
AQR	5.0	1.495	1.773	1.047	5.0	1.481
SIA7A	4.758	2.601	1.793	1.477	1.946	4.734
LMCD1	4.676	1.234	2.213	0.691	4.656	0.657
PRS6B	5.0	1.292	3.474	1.555	5.0	1.562
FNDC8	4.309	0.0	0.0	0.0	4.309	0.0
KKCC1	4.812	1.108	2.59	1.064	4.517	1.019
ACAP1	4.331	0.892	1.675	0.619	2.804	3.821
DERL2	5.0	1.041	3.4	0.773	1.258	5.0
NOX3	4.414	4.377	4.616	2.149	1.727	4.332
ANO8	4.408	0.917	5.0	0.0	1.109	4.164
A0A0C4DFL8	4.76	1.326	2.103	1.863	4.751	0.798
ICAM3	4.438	4.455	4.784	1.304	1.852	4.402
CTTB2	4.424	1.569	3.691	1.47	3.26	2.907
ACL6B	5.0	0.895	1.639	0.0	5.0	0.817
KIF22	5.0	1.288	2.307	2.4	4.596	1.299
BSSP4	2.679	5.0	1.694	0.781	2.398	0.234
CEAM1	5.0	4.542	5.0	1.88	1.976	4.38
YTDC2	4.672	0.796	1.018	1.028	4.337	4.0
T161A	2.137	0.0	2.532	0.0	0.647	0.562
FOXJ2	5.0	1.232	0.829	0.918	5.0	0.874
TNR1A	5.0	5.0	4.82	4.429	3.024	5.0
GOGA5	5.0	1.353	1.616	1.243	2.504	5.0
CELR3	1.713	1.565	5.0	0.0	1.293	1.133
2A5B	4.563	0.743	0.949	0.87	3.813	0.545
PYGM	4.587	4.235	1.201	2.52	1.718	4.153
BCL3	5.0	1.252	4.244	1.127	5.0	0.76
PIGB	5.0	0.774	3.784	0.529	0.854	5.0
PDZD4	4.084	1.047	3.342	1.374	2.667	0.779
PRRP	3.322	5.0	1.934	1.705	1.991	0.992
FSTL3	5.0	5.0	2.441	1.146	5.0	4.184
EPHA8	3.781	2.037	4.681	0.698	1.387	3.465
PCH2	4.545	1.044	1.475	1.261	3.891	1.211
VASH1	5.0	5.0	1.379	1.766	2.092	5.0
K1C14	5.0	4.539	3.432	1.895	5.0	4.381
K1C20	5.0	2.077	1.827	3.28	2.502	1.586
SPP24	4.339	5.0	1.179	0.533	1.42	4.0
HCD2	5.0	1.75	4.304	5.0	2.942	1.861
FGF4	3.963	4.746	2.054	1.737	2.406	1.826
SIAT1	5.0	5.0	2.532	1.096	1.621	5.0
TIM21	5.0	0.703	2.077	5.0	2.362	1.589
BPIB2	4.664	4.44	1.093	0.0	0.0	4.488
REXO1	4.831	0.788	0.0	0.0	4.829	0.768
MKRN2	3.901	0.0	0.76	0.0	3.909	0.0
GPTC1	5.0	0.0	1.714	0.0	5.0	1.441
KEAP1	5.0	2.523	5.0	3.158	4.821	3.548
P2Y10	1.181	1.279	5.0	0.568	0.938	0.844
TENS1	4.538	2.442	4.504	2.188	3.718	1.996
TNR16	4.739	4.768	5.0	2.136	4.686	4.459
NET1	4.312	5.0	3.032	1.6	3.025	1.888
ISOC1	3.872	0.803	1.182	0.703	1.603	1.094
TROP	2.474	1.019	5.0	0.0	2.283	0.0
MNT	5.0	1.53	1.485	1.582	5.0	1.254
LAP4A	5.0	0.937	3.319	0.899	1.111	5.0
ADAM7	2.586	1.547	4.402	0.585	1.043	2.322
ASNS	4.836	1.875	1.676	2.294	2.661	2.038
PTN18	4.706	0.981	1.222	1.861	4.513	0.819
DRD4	2.159	1.874	5.0	1.496	1.923	1.514
SECR	2.467	4.755	2.422	1.78	2.028	2.134
STK10	4.562	4.218	5.0	2.21	2.049	4.189
TBX21	4.754	3.331	3.037	2.272	4.743	2.055
C9JJ19	4.739	0.754	0.584	4.758	1.371	0.0
CAH12	2.715	2.575	4.107	2.304	1.755	1.428
MP2K5	4.15	2.908	2.0	2.163	4.078	1.845
TIGAR	5.0	1.647	5.0	5.0	5.0	1.948
FGF20	4.11	4.426	1.793	1.787	2.112	1.62
MTMR7	5.0	0.0	0.842	0.84	0.874	0.973
CBPB2	4.504	5.0	1.737	1.1	1.399	4.342
F107B	4.11	1.633	1.81	3.405	3.793	1.518
CDK13	5.0	4.219	0.938	0.757	5.0	4.297
TSN32	1.411	2.994	4.0	0.0	1.191	0.799
TRAM2	3.906	0.677	3.052	0.0	0.847	3.657
CLD18	1.942	1.685	4.504	0.797	1.603	0.98
ROP1A	4.565	0.507	3.641	1.032	4.398	0.881
NDUB4	5.0	0.815	1.555	5.0	4.577	0.871
HEAT6	3.854	1.424	0.901	2.335	3.243	0.544
ERLEC	5.0	2.34	1.411	0.952	1.178	5.0
CLIC5	5.0	4.245	3.631	1.411	2.528	5.0
TM131	2.83	0.906	2.942	0.934	1.115	1.892
TM38A	4.305	4.12	4.35	0.801	4.228	4.258
ARP6	4.361	0.0	2.168	0.0	3.964	0.0
SEPR	4.268	4.548	5.0	1.316	1.862	2.091
DMRT3	4.175	0.985	0.918	1.596	4.018	0.734
G3ST2	3.702	1.688	0.726	0.0	0.0	3.687
URFB1	3.477	0.804	1.532	1.084	3.39	0.87
OSTM1	4.604	2.282	2.85	0.881	1.045	2.607
IMPG2	1.854	5.0	3.563	0.79	0.787	1.374
S13A1	1.899	1.305	4.735	0.856	1.012	1.031
PCDB4	2.369	1.377	4.5	0.281	0.766	0.755
PCDB2	2.811	0.0	4.278	0.0	2.036	1.312
IFT25	4.586	1.074	4.423	1.046	2.59	1.295
STRAB	5.0	1.034	2.289	0.504	5.0	0.665
PLOD1	5.0	4.564	1.303	1.279	2.463	5.0
SCOT1	5.0	1.457	1.374	5.0	1.554	1.25
ZN416	4.265	0.0	0.0	0.0	4.181	0.0
F234B	3.782	0.0	2.906	0.0	0.0	3.0
PILRA	4.285	4.495	4.649	0.188	0.854	4.237
RRN3	4.703	1.165	1.216	1.936	4.699	0.781
MOGT2	5.0	2.257	1.521	1.638	0.96	5.0
AQP2	5.0	5.0	5.0	1.587	2.01	5.0
DIM1	5.0	0.737	0.637	3.69	5.0	0.605
E2AK1	3.978	1.095	1.201	1.483	3.288	2.409
TXND3	4.717	1.084	4.391	1.16	4.339	2.752
EPDR1	5.0	5.0	1.21	1.118	1.008	1.013
RM28	5.0	0.0	0.0	5.0	1.786	0.0
HBAT	4.556	3.378	1.185	1.2	2.087	0.921
CEAM6	5.0	5.0	5.0	1.342	1.823	4.322
RBM22	5.0	0.598	0.521	0.0	5.0	0.663
DHB2	4.595	1.609	2.539	1.348	1.615	4.163
ZW10	5.0	1.236	1.584	0.62	5.0	5.0
ITB4	4.526	4.616	5.0	1.508	4.41	4.349
PR15A	4.716	1.899	3.589	4.443	2.236	4.611
TRIP6	5.0	1.505	5.0	0.993	5.0	1.092
ADA11	2.858	1.887	4.604	0.281	2.499	0.506
S22A4	5.0	1.75	4.764	5.0	1.592	1.462
CETP	4.758	5.0	2.469	1.741	1.874	4.321
MT3	5.0	3.333	4.313	1.594	4.125	4.259
AP2C	5.0	1.896	1.415	4.258	5.0	1.405
ST2B1	5.0	4.246	1.312	0.999	3.93	4.389
ES8L1	4.743	4.145	5.0	0.0	1.94	4.0
REM1	3.409	1.354	3.716	1.148	3.323	1.608
PDRG1	4.206	0.737	0.608	0.985	2.585	0.7
ASPP1	5.0	0.889	4.456	2.702	5.0	0.584
TGM3L	5.0	1.49	3.007	1.274	1.562	1.115
RGPA2	5.0	4.106	4.725	0.0	2.371	0.686
ESF1	4.633	4.194	0.916	0.0	4.625	1.01
SIR4	5.0	2.284	2.264	5.0	3.09	2.074
TRM6	4.729	0.929	1.907	1.926	4.715	1.112
QCR1	4.854	1.507	1.376	4.861	1.68	1.429
GMIP	4.738	0.664	4.204	0.0	4.685	0.977
LAG3	2.741	4.633	4.79	2.017	2.255	2.158
MLF2	4.458	0.691	2.041	0.903	4.439	1.111
OTUB2	4.624	1.15	1.155	1.259	4.353	0.968
TFAP4	5.0	1.112	1.022	4.183	5.0	0.6
PDCD7	4.712	0.0	1.532	0.992	4.713	0.0
SPG21	5.0	0.787	1.053	1.409	2.847	5.0
CHRD	3.448	4.775	3.013	2.612	2.138	2.114
GNPTG	4.699	4.172	0.582	0.582	0.503	4.303
GOGA3	5.0	0.915	1.636	1.254	4.735	5.0
EFNB1	4.709	4.444	4.75	1.184	3.772	4.36
GSLG1	4.712	4.402	4.463	1.25	1.375	4.711
DLL3	2.755	2.524	3.888	1.599	2.785	1.489
NAT14	5.0	0.75	1.704	0.0	5.0	0.188
ACSF4	3.068	0.0	0.572	1.184	2.735	0.0
DLDH	5.0	1.557	3.494	5.0	5.0	2.799
MRP6	4.389	2.348	4.824	1.523	4.316	3.229
CKLF6	5.0	1.043	5.0	0.0	1.024	5.0
APOH	4.519	5.0	4.359	1.571	1.994	4.399
SPAG7	4.663	0.0	0.76	0.0	4.63	0.0
CCD80	2.691	3.596	1.259	0.985	1.209	1.566
HAUS4	5.0	0.0	0.0	0.469	1.266	0.0
CEBPE	5.0	1.361	1.518	1.181	5.0	1.97
OSGEP	5.0	2.03	4.53	1.819	5.0	1.598
G2E3	4.47	0.776	0.622	0.625	3.887	4.0
TGM1	4.833	4.392	5.0	2.421	3.742	4.536
TBX15	4.292	1.299	1.1	1.59	3.669	0.785
TEKT2	4.696	0.725	3.842	1.812	4.544	1.006
UN13D	5.0	4.353	2.143	1.361	2.788	5.0
XYLB	4.41	1.669	1.927	1.7	2.198	1.208
OR1I1	0.0	0.0	5.0	0.0	0.0	0.0
ADH1A	5.0	1.824	4.393	2.077	4.464	1.521
K1C23	4.748	1.308	1.015	1.43	2.62	0.579
CDC6	5.0	4.345	1.775	1.717	5.0	2.2
AAAS	5.0	1.01	5.0	1.022	5.0	1.014
CBX5	5.0	1.644	4.378	1.101	5.0	0.944
KLH20	5.0	0.762	3.366	0.809	5.0	5.0
FMO2	4.435	1.771	0.956	1.345	1.111	4.0
DHYS	4.742	1.141	2.638	1.455	2.927	0.957
RAB26	5.0	0.932	4.283	3.108	2.043	5.0
PSMD5	4.791	2.261	2.325	2.104	4.495	2.111
SIAS	5.0	4.343	1.473	1.046	2.978	4.156
SEM4G	2.426	4.17	5.0	1.562	1.883	1.821
TRYD	1.761	3.974	1.1	0.0	0.0	1.163
GSTA3	5.0	4.286	1.29	2.102	1.764	4.163
MK13	4.756	2.253	1.815	1.648	4.101	1.423
TM14A	5.0	2.282	2.567	5.0	0.596	5.0
PRRT1	3.406	0.779	3.916	0.508	1.11	2.435
ZN184	4.33	0.0	0.819	0.0	4.308	0.76
VINC	5.0	4.61	5.0	2.051	2.694	4.451
SIR1	5.0	2.894	5.0	4.824	5.0	2.634
TGBR3	4.487	4.597	4.673	1.329	2.0	4.325
TMED1	5.0	1.163	3.942	0.0	0.711	5.0
MZF1	5.0	1.718	1.486	1.166	5.0	1.141
OCEL1	3.333	0.0	0.0	0.0	2.566	1.532
PSMD8	5.0	1.194	1.515	2.379	4.734	1.039
STX1B	4.721	1.406	4.177	1.253	4.289	3.876
EFNA2	2.969	3.696	4.383	0.751	1.618	1.595
ATPD	5.0	1.134	1.057	5.0	1.569	1.02
FGF22	3.877	5.0	1.982	1.626	1.168	1.404
SIM24	1.594	0.614	0.69	0.0	0.0	1.594
NDUB7	5.0	2.004	1.379	5.0	2.185	0.788
TECR	5.0	1.809	1.871	2.281	4.409	5.0
TIM13	4.791	2.235	2.207	4.613	4.461	1.308
UB2R1	5.0	1.236	1.481	2.319	5.0	1.754
MISP	5.0	0.597	5.0	0.812	2.967	1.51
GA45B	5.0	3.573	1.808	2.154	5.0	1.601
MADCA	1.91	2.963	4.762	0.908	1.707	1.44
MK12	5.0	2.019	1.954	5.0	5.0	1.369
HEP2	4.478	4.599	1.902	1.139	1.449	4.337
SNP29	5.0	1.263	5.0	1.733	4.569	4.463
THAP7	5.0	1.219	4.288	0.604	5.0	1.502
MMP11	4.629	5.0	3.298	2.563	2.2	4.238
MIF	4.832	5.0	4.465	2.145	4.648	4.447
DDTL	4.191	4.15	0.0	0.188	1.02	4.0
ONCM	2.697	5.0	2.854	1.806	2.474	1.843
SF3A1	5.0	1.061	1.758	1.087	5.0	0.924
UBP18	4.799	2.57	1.737	1.807	4.497	2.003
S14L3	4.408	4.0	0.92	0.981	1.762	4.219
SMD3	5.0	1.218	1.116	1.09	5.0	0.862
MK01	5.0	4.56	5.0	5.0	5.0	5.0
TCO2	4.633	5.0	1.71	1.642	1.35	4.275
CRBB3	2.912	1.389	1.57	0.781	2.88	0.826
MORC2	5.0	0.0	0.0	1.552	5.0	0.281
TXTP	4.778	4.3	2.681	4.776	4.331	4.235
PA2G3	5.0	4.558	3.565	0.953	1.14	5.0
LEG2	4.21	1.596	1.042	1.097	1.58	0.557
PLPP	5.0	1.713	3.726	1.915	1.978	1.113
ASPH2	2.553	1.062	0.422	0.469	1.344	1.619
LEG1	5.0	4.645	3.141	1.623	3.99	4.316
P3IP1	1.949	1.195	4.307	0.791	1.46	0.56
SRR1L	4.627	0.0	1.16	2.109	3.188	0.0
ANR54	4.623	1.011	4.0	0.0	4.452	0.0
MILK1	5.0	1.169	1.693	0.603	3.417	5.0
CENPM	5.0	1.406	0.853	0.527	5.0	1.131
DMC1	5.0	0.0	0.886	0.0	5.0	1.532
HSC20	5.0	0.865	2.616	5.0	4.485	0.991
TOM22	4.886	1.591	4.59	4.788	2.161	2.133
RSP14	2.54	0.0	1.011	0.591	1.172	0.0
XBP1	5.0	2.455	2.491	2.719	4.778	5.0
RTCB	5.0	1.363	1.768	1.153	5.0	2.173
JOS1	4.57	1.044	3.326	0.281	2.332	0.611
GTPB1	4.623	1.914	2.218	1.166	2.586	2.412
DNAL4	4.524	1.688	4.107	0.281	1.901	0.534
CV031	2.25	0.0	0.0	2.25	1.826	0.0
MIOX	4.794	1.724	1.758	1.594	3.054	1.401
RHBD3	3.014	0.759	1.779	1.09	1.327	0.866
ABC3D	5.0	1.372	1.097	0.687	4.156	0.97
RSLAA	3.695	0.75	3.223	0.965	3.528	0.0
HMGX4	5.0	0.0	0.375	0.703	5.0	0.0
BIK	4.284	1.709	2.249	4.058	2.235	2.069
HMOX1	5.0	4.601	4.2	3.374	4.422	5.0
NIPS1	4.676	0.654	2.513	4.683	0.968	0.807
MCM5	4.854	1.548	1.45	1.598	4.846	1.148
A0A0C4DFZ2	4.833	4.262	1.357	1.278	1.12	4.304
RHES	4.034	1.179	4.558	3.272	1.562	1.179
TTL12	5.0	1.041	3.325	0.5	3.7	0.0
CBX7	5.0	1.267	0.981	0.966	5.0	0.707
ACRO	4.562	4.634	2.084	1.575	4.392	4.557
CABP7	5.0	0.537	3.563	1.14	0.963	5.0
TAB1	4.824	2.256	2.083	2.046	4.825	4.343
PLPL5	4.531	1.162	1.425	1.266	1.719	1.2
PLPL3	5.0	2.736	1.584	3.058	3.399	4.294
MYH9	5.0	4.434	5.0	1.921	5.0	4.38
THIOM	4.906	1.574	2.59	4.914	4.571	1.75
EIF3D	5.0	1.011	0.974	1.055	2.067	1.03
PRVA	4.461	2.908	4.056	2.243	4.374	2.276
UPK3A	4.501	4.509	4.113	1.564	1.706	4.311
F118A	2.374	0.094	1.781	0.094	2.226	0.574
F10A1	4.898	4.302	1.71	1.707	1.945	4.317
IL2RB	4.554	2.925	5.0	2.103	2.06	4.309
RBX1	5.0	3.239	1.847	1.812	4.552	1.738
LMBL2	4.684	0.775	1.004	1.159	4.686	0.0
CHADL	2.656	5.0	0.0	2.077	0.525	0.281
PHF5A	5.0	1.827	0.664	0.696	5.0	0.907
ACON	4.879	1.685	1.792	4.884	1.99	1.712
PMM1	4.697	0.0	1.107	1.018	2.93	2.522
CERK1	4.25	1.742	5.0	1.957	2.498	1.97
BRD1	5.0	1.221	2.676	1.076	5.0	1.015
ZBED4	5.0	0.0	3.293	0.0	5.0	0.668
HDA10	5.0	1.357	1.656	1.822	5.0	0.903
RIPK3	5.0	2.362	2.553	2.547	4.628	2.12
PAPOA	5.0	0.755	0.858	0.964	5.0	0.721
NID2	4.389	5.0	4.653	0.87	1.311	4.229
SNPC1	5.0	0.0	0.0	1.031	5.0	0.594
SP16H	4.832	1.405	1.187	1.032	4.833	0.938
FKBP3	5.0	0.945	1.217	2.064	5.0	1.289
CATG	5.0	4.795	5.0	1.79	4.448	5.0
GRAH	3.801	3.465	1.527	1.383	1.33	1.317
GRAB	5.0	4.669	5.0	3.43	5.0	3.364
AP4S1	5.0	0.375	1.298	1.461	0.734	4.319
DPOE2	5.0	0.992	0.783	3.06	5.0	1.988
SOS2	4.621	1.353	1.678	1.056	3.364	2.347
PYGL	4.856	4.284	3.358	1.845	2.444	4.199
GNA1	4.629	1.939	1.499	1.252	2.068	3.4
CNIH1	4.5	1.301	3.367	0.0	0.0	4.475
CGRF1	5.0	2.404	1.635	0.0	4.434	5.0
VATD	4.718	4.17	4.452	1.447	3.35	4.277
PLEK2	5.0	0.926	5.0	0.958	1.692	2.067
PIGH	5.0	0.544	3.051	0.531	0.559	5.0
PSA3	5.0	4.276	3.296	1.735	4.498	4.24
A0A0C4DFM0	4.832	1.249	1.302	4.617	2.607	0.686
TMED8	1.822	0.0	0.0	0.0	1.878	0.0
SAM15	3.406	0.0	1.685	0.0	3.406	0.453
AHSA1	4.805	4.312	1.807	1.654	2.597	4.277
SPTC2	5.0	1.486	1.938	3.898	2.094	5.0
RIN3	5.0	1.318	3.363	0.831	2.694	5.0
ALKB1	5.0	2.098	1.278	5.0	4.553	4.167
CMGA	5.0	4.784	2.276	1.884	3.491	4.593
DHRS7	3.698	0.782	0.899	2.144	2.295	2.972
SIX4	4.84	1.449	1.176	0.983	4.835	1.169
NTCP	2.506	2.015	4.786	1.78	2.418	2.034
IF5	5.0	1.402	4.533	1.738	2.597	1.457
ZFY21	5.0	2.822	5.0	0.188	0.234	5.0
BKRB1	4.385	1.864	5.0	1.324	1.66	4.221
VRK1	5.0	1.336	2.145	2.502	5.0	5.0
APEX1	5.0	2.066	2.293	5.0	5.0	5.0
PABP2	5.0	1.772	1.78	1.488	5.0	1.841
EFS	4.522	2.024	3.558	2.278	2.84	1.475
CINP	3.705	0.375	0.0	1.163	3.682	0.0
PCKGM	5.0	1.992	1.819	5.0	2.714	1.79
IKBA	5.0	3.147	4.708	2.959	5.0	2.336
PSME2	4.588	4.279	1.349	1.757	4.007	4.249
BRM1L	4.463	1.688	1.61	1.209	4.465	0.983
PININ	5.0	1.711	5.0	0.882	5.0	0.838
CP24A	4.809	2.04	1.895	4.759	4.49	1.569
AURKA	5.0	2.071	5.0	2.175	4.671	1.797
ZF64B	4.561	0.651	0.699	0.0	4.55	0.0
PYGB	5.0	4.325	2.306	1.683	2.093	4.21
EPCR	4.63	4.511	4.739	1.528	2.948	4.4
MYBB	5.0	1.692	1.633	1.891	5.0	1.182
CRSPL	2.237	3.962	1.209	0.76	1.771	0.995
SALL4	5.0	2.06	1.634	1.403	5.0	2.475
CSTF1	4.72	0.943	0.788	0.656	4.727	1.975
TPD54	5.0	1.669	0.802	1.128	2.066	2.41
CATZ	5.0	4.682	4.355	1.47	1.591	4.646
TBB1	5.0	4.28	1.37	1.129	2.314	4.203
SO4A1	2.048	1.493	5.0	1.342	1.623	1.237
BIRC7	5.0	1.46	1.526	2.39	5.0	5.0
RNF37	5.0	0.0	4.279	0.522	5.0	0.544
EF1A2	5.0	2.105	3.215	2.193	2.38	1.89
SRMS	5.0	0.281	3.268	2.203	0.942	0.0
CT027	3.476	1.312	0.0	2.484	1.502	0.0
TRIB3	4.789	1.734	4.333	3.23	4.642	2.428
CSK21	5.0	1.74	4.401	1.895	5.0	1.667
MACD2	5.0	1.132	1.041	1.362	5.0	0.798
S52A3	5.0	0.903	5.0	1.603	5.0	0.965
RSPO4	1.446	4.604	1.419	0.188	1.14	0.281
PKR2	1.814	1.672	5.0	0.669	1.805	0.826
FERM1	5.0	2.073	5.0	0.0	3.372	0.965
TLDC2	3.896	0.469	0.0	0.281	3.731	0.705
CK5P1	3.933	1.168	1.061	3.764	1.312	0.753
SNTA1	4.333	1.543	4.452	2.042	1.752	1.37
NEU1	4.237	5.0	3.786	2.113	3.001	3.954
CHM4B	5.0	4.318	5.0	2.241	5.0	5.0
LBP	4.67	5.0	4.379	1.485	2.822	4.531
VIAAT	4.522	2.167	5.0	1.586	2.309	4.524
CYTS	4.399	5.0	1.708	1.269	1.437	4.336
SAHH	4.846	4.375	2.744	2.294	3.271	4.279
SPIT3	1.087	4.162	1.376	0.0	0.0	0.0
PIGU	5.0	0.0	4.643	0.0	0.0	5.0
ACOT8	5.0	0.978	1.002	2.804	2.279	2.515
APMAP	2.728	1.077	5.0	0.8	1.133	2.101
TXNL1	5.0	1.199	1.447	1.77	3.974	1.107
ML12A	4.722	4.331	1.915	2.494	2.039	4.257
